sequence,millisecond,index,middle,ring,little
91,1426,3.02,4.48,4.5,1.95
92,1442,3.1,4.56,4.52,1.95
93,1457,3.15,4.61,4.54,1.95
94,1472,3.18,4.66,4.56,1.96
95,1489,3.21,4.73,4.58,1.96
96,1504,3.24,4.77,4.6,1.95
97,1519,3.27,4.81,4.61,1.95
98,1535,3.29,4.87,4.62,1.94
99,1550,3.34,4.92,4.64,1.94
100,1565,3.38,4.97,4.67,1.94
101,1580,3.5,5.09,4.74,1.94
102,1596,3.58,5.15,4.78,1.95
103,1611,3.63,5.2,4.82,1.97
104,1626,3.69,5.28,4.87,2.0
105,1643,3.77,5.34,4.95,2.03
106,1658,3.82,5.39,5.0,2.04
107,1673,3.88,5.44,5.05,2.06
108,1689,3.95,5.5,5.1,2.08
109,1704,4.0,5.56,5.17,2.12
110,1719,4.05,5.56,5.24,2.15
111,1735,4.1,5.69,5.29,2.17
112,1750,4.16,5.8,5.34,2.2
113,1766,4.2,5.9,5.4,2.23
114,1781,4.23,6.03,5.45,2.25
115,1797,4.26,6.13,5.48,2.27
116,1812,4.27,6.28,5.51,2.29
117,1827,4.27,6.34,5.53,2.3
118,1843,4.28,6.41,5.55,2.34
119,1858,4.29,6.46,5.56,2.36
120,1874,4.3,6.51,5.56,2.37
121,1890,4.3,6.55,5.56,2.38
122,1905,4.31,6.59,5.56,2.38
123,1921,4.31,6.63,5.55,2.38
124,1936,4.3,6.64,5.53,2.37
125,1952,4.29,6.66,5.52,2.37
126,1968,4.28,6.69,5.51,2.37
127,1983,4.28,6.71,5.52,2.38
128,1998,4.28,6.72,5.52,2.38
129,2014,4.27,6.73,5.53,2.39
130,2029,4.25,6.73,5.54,2.4
131,2044,4.24,6.73,5.54,2.41
132,2060,4.24,6.74,5.56,2.44
133,2075,4.24,6.77,5.59,2.46
134,2091,4.23,6.78,5.61,2.47
135,2107,4.21,6.78,5.61,2.49
136,2122,4.17,6.78,5.61,2.51
137,2138,4.14,6.79,5.62,2.53
138,2153,4.12,6.81,5.63,2.55
139,2168,4.11,6.84,5.64,2.56
140,2185,4.09,6.85,5.64,2.56
141,2200,4.07,6.86,5.62,2.55
142,2215,4.04,6.88,5.61,2.53
143,2231,4.01,6.94,5.59,2.5
144,2246,3.99,6.99,5.58,2.48
145,2263,3.99,7.05,5.57,2.47
146,2278,3.99,7.13,5.55,2.45
147,2294,3.98,7.14,5.53,2.44
148,2309,3.97,7.17,5.51,2.42
149,2324,3.97,7.21,5.49,2.41
150,2341,3.98,7.26,5.48,2.4
151,2356,3.98,7.31,5.48,2.39
152,2371,3.97,7.35,5.48,2.39
153,2387,3.96,7.37,5.47,2.39
154,2402,3.95,7.38,5.47,2.39
155,2419,3.95,7.43,5.47,2.39
156,2434,3.93,7.47,5.48,2.4
157,2449,3.91,7.49,5.49,2.4
158,2465,3.89,7.46,5.48,2.4
159,2480,3.87,7.45,5.46,2.4
160,2495,3.85,7.45,5.45,2.4
161,2512,3.84,7.47,5.44,2.4
162,2527,3.82,7.45,5.42,2.38
163,2542,3.8,7.41,5.38,2.36
164,2558,3.79,7.36,5.33,2.34
165,2573,3.79,7.36,5.3,2.33
166,2590,3.79,7.37,5.3,2.33
167,2605,3.77,7.38,5.3,2.32
168,2620,3.76,7.31,5.25,2.3
169,2636,3.74,7.26,5.21,2.28
170,2651,3.72,7.23,5.19,2.27
171,2666,3.71,7.24,5.18,2.27
172,2683,3.7,7.23,5.19,2.26
173,2698,3.69,7.21,5.18,2.26
174,2713,3.66,7.18,5.17,2.26
175,2729,3.65,7.15,5.17,2.27
176,2746,3.62,7.17,5.21,2.3
177,2761,3.62,7.19,5.22,2.31
178,2776,3.63,7.19,5.24,2.33
179,2792,3.63,7.2,5.27,2.35
180,2807,3.65,7.22,5.29,2.37
181,2822,3.66,7.24,5.31,2.39
182,2839,3.66,7.25,5.31,2.4
183,2854,3.66,7.25,5.31,2.4
184,2868,3.66,7.25,5.31,2.4
185,2884,3.66,7.25,5.31,2.41
186,2900,3.66,7.25,5.3,2.41
187,2916,3.65,7.2,5.29,2.41
188,2931,3.64,7.17,5.27,2.39
189,2946,3.63,7.15,5.25,2.38
190,2962,3.63,7.13,5.24,2.37
191,2978,3.62,7.13,5.23,2.36
192,2993,3.63,7.13,5.23,2.36
193,3009,3.63,7.13,5.23,2.36
194,3024,3.65,7.14,5.23,2.36
195,3039,3.66,7.14,5.22,2.35
196,3055,3.68,7.15,5.22,2.35
197,3071,3.7,7.18,5.22,2.35
198,3087,3.72,7.2,5.23,2.36
199,3102,3.73,7.2,5.24,2.36
200,3117,3.75,7.19,5.23,2.35
201,3133,3.76,7.17,5.21,2.35
202,3148,3.77,7.15,5.19,2.34
203,3163,3.78,7.13,5.18,2.34
204,3179,3.79,7.14,5.18,2.34
205,3194,3.79,7.16,5.19,2.36
206,3210,3.81,7.17,5.18,2.35
207,3225,3.83,7.15,5.13,2.35
208,3240,3.83,7.13,5.09,2.31
209,3255,3.84,7.14,5.07,2.29
210,3271,3.84,7.16,5.07,2.29
211,3287,3.84,7.19,5.08,2.3
212,3301,3.85,7.2,5.09,2.32
213,3316,3.86,7.18,5.1,2.33
214,3333,3.87,7.18,5.1,2.35
215,3348,3.88,7.19,5.11,2.36
216,3363,3.89,7.18,5.09,2.37
217,3379,3.9,7.17,5.08,2.37
218,3394,3.91,7.16,5.07,2.38
219,3411,3.91,7.13,5.07,2.38
220,3426,3.91,7.09,5.06,2.37
221,3442,3.91,7.02,5.02,2.34
222,3457,3.9,6.97,5.0,2.32
223,3472,3.9,6.94,4.97,2.3
224,3489,3.88,6.92,4.94,2.27
225,3504,3.84,6.91,4.91,2.24
226,3519,3.79,6.89,4.88,2.22
227,3535,3.75,6.89,4.85,2.19
228,3550,3.71,6.95,4.84,2.18
229,3567,3.68,7.02,4.85,2.17
230,3582,3.66,7.06,4.85,2.17
231,3597,3.64,7.07,4.84,2.16
232,3613,3.61,7.07,4.83,2.15
233,3628,3.6,7.09,4.84,2.15
234,3643,3.58,7.12,4.85,2.15
235,3657,3.55,7.15,4.84,2.13
236,3672,3.53,7.13,4.83,2.12
237,3688,3.52,7.11,4.82,2.1
238,3704,3.51,7.1,4.81,2.09
239,3720,3.51,7.11,4.8,2.08
240,3735,3.5,7.11,4.8,2.07
241,3750,3.5,7.12,4.8,2.06
242,3766,3.51,7.14,4.8,2.06
243,3782,3.51,7.16,4.8,2.06
244,3797,3.51,7.19,4.8,2.06
245,3813,3.51,7.23,4.81,2.06
246,3828,3.52,7.28,4.83,2.06
247,3843,3.52,7.36,4.84,2.05
248,3860,3.52,7.41,4.84,2.04
249,3875,3.52,7.45,4.84,2.04
250,3890,3.52,7.51,4.83,2.01
251,3905,3.51,7.51,4.81,2.01
252,3921,3.5,7.49,4.79,2.0
253,3937,3.49,7.43,4.76,1.99
254,3952,3.48,7.38,4.74,1.98
255,3968,3.48,7.33,4.73,1.97
256,3983,3.48,7.31,4.73,1.97
257,3998,3.48,7.31,4.73,1.97
258,4015,3.47,7.3,4.72,1.97
259,4030,3.46,7.3,4.72,1.96
260,4046,3.46,7.3,4.71,1.96
261,4061,3.46,7.32,4.7,1.96
262,4076,3.44,7.33,4.69,1.95
263,4093,3.41,7.31,4.65,1.93
264,4108,3.38,7.25,4.56,1.9
265,4124,3.36,7.22,4.52,1.88
266,4139,3.34,7.19,4.47,1.86
267,4154,3.31,7.15,4.43,1.85
268,4171,3.26,7.1,4.36,1.83
269,4186,3.22,7.08,4.31,1.8
270,4202,3.19,7.04,4.23,1.77
271,4217,3.14,0.0,4.12,1.73
272,4232,2.93,0.0,3.91,1.59
273,4248,2.64,2.31,3.29,1.41
274,4263,2.3,3.3,2.72,1.22
275,4278,1.62,2.83,2.18,1.02
276,4294,1.08,2.17,1.68,0.74
277,4310,0.71,1.54,1.1,0.5
278,4325,0.49,0.91,0.72,0.31
279,4340,0.17,0.29,0.27,0.0
280,4356,0.0,0.16,0.0,0.0
281,4371,0.0,0.0,0.0,0.0
282,4387,0.0,0.0,0.0,0.0
283,4403,0.0,0.0,0.0,0.0
284,4418,0.0,0.0,0.0,0.0
285,4433,0.0,0.0,0.0,0.0
286,4449,0.0,0.0,0.0,0.0
287,4464,0.0,0.0,0.0,0.0
288,4479,0.0,0.0,0.0,0.0
289,4496,0.0,0.0,0.0,0.0
290,4511,0.0,0.0,0.0,0.0
291,4527,0.0,0.0,0.0,0.0
292,4542,0.0,0.0,0.0,0.0
293,4558,0.0,0.0,0.0,0.0
294,4573,0.0,0.0,0.0,0.0
295,4589,0.0,0.0,0.0,0.0
296,4605,0.0,0.0,0.0,0.0
297,4620,0.0,0.0,0.0,0.0
298,4635,0.0,0.0,0.0,0.0
299,4651,0.0,0.0,0.0,0.0
300,4666,0.0,0.0,0.0,0.0
301,4682,0.0,0.0,0.0,0.0
302,4697,0.0,0.0,0.0,0.0
303,4713,0.0,0.0,0.0,0.0
304,4729,0.0,0.0,0.0,0.0
305,4743,0.0,0.0,0.0,0.0
306,4758,0.0,0.0,0.0,0.0
307,4774,0.0,0.0,0.0,0.0
